날짜,종가,오픈,고가,저가,변동 %
2021년 02월 26일,"1,123.89","1,119.47","1,130.33","1,118.41",0.46%
2021년 02월 25일,"1,118.77","1,107.54","1,121.61","1,105.70",1.04%
2021년 02월 24일,"1,107.27","1,110.22","1,113.75","1,106.08",-0.26%
2021년 02월 23일,"1,110.13","1,112.58","1,114.81","1,108.24",-0.13%
2021년 02월 22일,"1,111.59","1,106.02","1,116.10","1,102.83",0.66%
2021년 02월 19일,"1,104.27","1,107.08","1,111.28","1,102.22",-0.24%
2021년 02월 18일,"1,106.96","1,106.50","1,110.15","1,103.19",0.12%
2021년 02월 17일,"1,105.61","1,107.58","1,110.81","1,104.49",-0.09%
2021년 02월 16일,"1,106.58","1,102.31","1,109.55","1,096.91",0.48%
2021년 02월 15일,"1,101.31","1,104.37","1,106.00","1,100.70",-0.12%
2021년 02월 12일,"1,102.59","1,103.12","1,107.59","1,101.73",0.04%
2021년 02월 11일,"1,102.12","1,106.48","1,108.02","1,102.05",-0.30%
2021년 02월 10일,"1,105.48","1,111.01","1,114.16","1,103.59",-0.49%
2021년 02월 09일,"1,110.88","1,117.31","1,118.75","1,110.08",-0.42%
2021년 02월 08일,"1,115.61","1,117.76","1,122.17","1,116.05",-0.10%
2021년 02월 05일,"1,116.77","1,120.11","1,127.85","1,116.22",-0.29%
2021년 02월 04일,"1,120.00","1,113.58","1,122.74","1,112.48",0.59%
2021년 02월 03일,"1,113.46","1,115.51","1,117.25","1,111.80",-0.17%
2021년 02월 02일,"1,115.37","1,117.44","1,119.70","1,113.65",-0.10%
2021년 02월 01일,"1,116.51","1,118.43","1,120.98","1,115.55",-0.10%
