날짜,종가,오픈,고가,저가,변동 %
2020년 03월 31일,"1,218.30","1,224.71","1,225.21","1,214.28",-0.48%
2020년 03월 30일,"1,224.21","1,212.73","1,227.21","1,212.18",0.99%
2020년 03월 27일,"1,212.23","1,213.40","1,227.29","1,205.31",-0.06%
2020년 03월 26일,"1,212.90","1,233.00","1,235.43","1,212.48",-1.55%
2020년 03월 25일,"1,232.00","1,234.21","1,239.08","1,226.07",-0.10%
2020년 03월 24일,"1,233.21","1,273.00","1,273.04","1,232.90",-3.09%
2020년 03월 23일,"1,272.50","1,254.85","1,283.05","1,254.40",1.44%
2020년 03월 20일,"1,254.45","1,258.36","1,264.60","1,237.22",-0.27%
2020년 03월 19일,"1,257.86","1,256.50","1,292.93","1,247.45",0.11%
2020년 03월 18일,"1,256.46","1,239.76","1,269.15","1,231.60",1.35%
2020년 03월 17일,"1,239.72","1,232.87","1,247.21","1,232.45",0.60%
2020년 03월 16일,"1,232.37","1,211.70","1,233.72","1,209.31",1.74%
2020년 03월 13일,"1,211.28","1,211.21","1,226.77","1,205.48",0.05%
2020년 03월 12일,"1,210.71","1,192.71","1,214.17","1,191.15",1.52%
2020년 03월 11일,"1,192.57","1,185.75","1,197.95","1,184.43",0.59%
2020년 03월 10일,"1,185.60","1,200.94","1,202.30","1,185.03",-1.27%
2020년 03월 09일,"1,200.88","1,188.70","1,206.60","1,188.60",1.02%
2020년 03월 06일,"1,188.70","1,188.82","1,194.72","1,184.96",0.00%
2020년 03월 05일,"1,188.72","1,185.23","1,193.08","1,179.84",0.34%
2020년 03월 04일,"1,184.73","1,181.00","1,188.98","1,181.00",0.36%
2020년 03월 03일,"1,180.50","1,189.71","1,196.21","1,178.81",-0.77%
2020년 03월 02일,"1,189.61","1,200.21","1,207.63","1,188.56",-0.88%
