날짜,종가,오픈,고가,저가,변동 %
2022년 03월 31일,"1,214.17","1,210.51","1,215.47","1,208.16",0.32%
2022년 03월 30일,"1,210.31","1,208.19","1,213.22","1,207.06",0.25%
2022년 03월 29일,"1,207.35","1,223.82","1,225.12","1,207.27",-1.33%
2022년 03월 28일,"1,223.65","1,224.40","1,227.86","1,222.27",-0.12%
2022년 03월 25일,"1,225.08","1,221.00","1,226.31","1,216.35",0.45%
2022년 03월 24일,"1,219.58","1,219.02","1,225.05","1,217.10",0.08%
2022년 03월 23일,"1,218.62","1,215.19","1,219.80","1,210.91",0.29%
2022년 03월 22일,"1,215.07","1,218.82","1,223.92","1,214.51",-0.20%
2022년 03월 21일,"1,217.55","1,211.55","1,219.23","1,210.39",0.53%
2022년 03월 18일,"1,211.15","1,210.58","1,217.27","1,207.01",0.10%
2022년 03월 17일,"1,209.89","1,224.95","1,227.70","1,207.83",-1.26%
2022년 03월 16일,"1,225.35","1,241.66","1,244.06","1,225.32",-1.23%
2022년 03월 15일,"1,240.62","1,242.01","1,247.35","1,239.30",0.00%
2022년 03월 14일,"1,240.64","1,237.10","1,242.82","1,234.68",0.29%
2022년 03월 11일,"1,237.08","1,228.77","1,237.91","1,228.23",0.67%
2022년 03월 10일,"1,228.83","1,223.24","1,231.74","1,223.13",0.47%
2022년 03월 09일,"1,223.13","1,233.64","1,235.94","1,222.75",-0.84%
2022년 03월 08일,"1,233.53","1,232.26","1,238.83","1,227.97",0.11%
2022년 03월 07일,"1,232.14","1,221.65","1,233.47","1,220.05",1.21%
2022년 03월 04일,"1,217.45","1,206.93","1,219.78","1,206.35",0.99%
2022년 03월 03일,"1,205.54","1,203.26","1,209.29","1,202.18",0.20%
2022년 03월 02일,"1,203.16","1,205.42","1,208.99","1,201.98",-0.18%
2022년 03월 01일,"1,205.32","1,201.18","1,206.37","1,197.68",0.43%
