날짜,종가,오픈,고가,저가,변동 %
2021년 01월 29일,"1,117.64","1,113.24","1,121.76","1,112.15",0.46%
2021년 01월 28일,"1,112.52","1,108.42","1,121.36","1,107.49",0.37%
2021년 01월 27일,"1,108.38","1,102.01","1,109.90","1,100.87",0.67%
2021년 01월 26일,"1,101.02","1,102.69","1,108.24","1,100.47",-0.14%
2021년 01월 25일,"1,102.58","1,105.54","1,105.92","1,100.05",-0.26%
2021년 01월 22일,"1,105.41","1,099.97","1,107.29","1,098.95",0.50%
2021년 01월 21일,"1,099.88","1,097.35","1,102.67","1,096.59",0.32%
2021년 01월 20일,"1,096.35","1,102.44","1,103.39","1,096.88",-0.46%
2021년 01월 19일,"1,101.44","1,104.18","1,106.17","1,100.20",-0.10%
2021년 01월 18일,"1,102.52","1,104.26","1,108.42","1,102.28",-0.07%
2021년 01월 15일,"1,103.27","1,096.04","1,105.33","1,094.93",0.67%
2021년 01월 14일,"1,095.88","1,098.11","1,103.42","1,093.93",-0.11%
2021년 01월 13일,"1,097.12","1,094.60","1,099.33","1,092.37",0.24%
2021년 01월 12일,"1,094.48","1,097.38","1,103.46","1,092.97",-0.25%
2021년 01월 11일,"1,097.23","1,093.01","1,101.05","1,092.73",0.39%
2021년 01월 08일,"1,092.93","1,094.35","1,099.21","1,088.79",-0.12%
2021년 01월 07일,"1,094.28","1,088.03","1,096.78","1,085.42",0.58%
2021년 01월 06일,"1,087.93","1,087.40","1,089.79","1,083.91",0.14%
2021년 01월 05일,"1,086.42","1,086.69","1,090.33","1,082.04",-0.01%
2021년 01월 04일,"1,086.48","1,085.73","1,088.30","1,080.02",0.16%
2021년 01월 01일,"1,084.73","1,085.69","1,086.10","1,085.25",0.02%
