날짜,종가,오픈,고가,저가,변동 %
2022년 01월 31일,1.385,1.406,1.418,1.363,-1.72%
2022년 01월 30일,1.4093,1.4065,1.4093,1.4065,1.97%
2022년 01월 28일,1.3821,1.422,1.461,1.374,-2.63%
2022년 01월 27일,1.4194,1.406,1.441,1.387,0.99%
2022년 01월 26일,1.4055,1.276,1.414,1.26,10.42%
2022년 01월 25일,1.2729,1.262,1.289,1.232,0.86%
2022년 01월 24일,1.262,1.308,1.327,1.219,-3.69%
2022년 01월 23일,1.3103,1.3076,1.3103,1.3076,0.62%
2022년 01월 21일,1.3022,1.304,1.321,1.262,-0.99%
2022년 01월 20일,1.3152,1.366,1.372,1.307,-2.77%
2022년 01월 19일,1.3526,1.36,1.393,1.307,-0.58%
2022년 01월 18일,1.3605,1.301,1.368,1.301,4.34%
2022년 01월 17일,1.3039,1.3093,1.3093,1.3039,2.95%
2022년 01월 14일,1.2665,1.208,1.272,1.192,6.05%
2022년 01월 13일,1.1943,1.237,1.245,1.189,-3.25%
2022년 01월 12일,1.2344,1.216,1.24,1.192,4.86%
2022년 01월 11일,1.1772,1.196,1.237,1.174,-0.67%
2022년 01월 10일,1.1852,1.161,1.202,1.158,2.13%
2022년 01월 09일,1.1605,1.1605,1.1605,1.1605,0.00%
2022년 01월 07일,1.1605,1.136,1.188,1.122,1.95%
2022년 01월 06일,1.1383,1.079,1.149,1.07,5.02%
2022년 01월 05일,1.0839,1.013,1.095,1.008,6.95%
2022년 01월 04일,1.0135,1.016,1.049,1.008,-0.79%
2022년 01월 03일,1.0216,1,1.046,0.987,6.47%
2022년 01월 02일,0.9595,0.9595,0.9595,0.9595,0.00%
