날짜,종가,오픈,고가,저가,변동 %
2021년 01월 31일,0.1728,0.1754,0.1754,0.1728,-1.48%
2021년 01월 29일,0.1754,0.186,0.191,0.173,-5.65%
2021년 01월 28일,0.1859,0.183,0.194,0.175,4.50%
2021년 01월 27일,0.1779,0.183,0.183,0.167,0.06%
2021년 01월 26일,0.1778,0.178,0.183,0.175,0.00%
2021년 01월 25일,0.1778,0.191,0.191,0.175,-5.58%
2021년 01월 24일,0.1883,0.1909,0.1909,0.1883,0.00%
2021년 01월 22일,0.1883,0.188,0.194,0.186,-1.26%
2021년 01월 21일,0.1907,0.199,0.204,0.188,-1.35%
2021년 01월 20일,0.1933,0.204,0.209,0.193,-3.88%
2021년 01월 19일,0.2011,0.214,0.22,0.199,-4.96%
2021년 01월 18일,0.2116,0.2116,0.2116,0.2116,2.57%
2021년 01월 15일,0.2063,0.216,0.222,0.206,-8.07%
2021년 01월 14일,0.2244,0.222,0.235,0.214,0.00%
2021년 01월 13일,0.2244,0.23,0.24,0.219,-3.36%
2021년 01월 12일,0.2322,0.237,0.25,0.232,3.52%
2021년 01월 11일,0.2243,0.222,0.227,0.211,0.04%
2021년 01월 10일,0.2242,0.2242,0.2242,0.2242,0.00%
2021년 01월 08일,0.2242,0.216,0.229,0.211,5.16%
2021년 01월 07일,0.2132,0.202,0.216,0.2,5.34%
2021년 01월 06일,0.2024,0.173,0.216,0.17,16.99%
2021년 01월 05일,0.173,0.168,0.173,0.157,6.59%
2021년 01월 04일,0.1623,0.173,0.176,0.16,-4.64%
2021년 01월 03일,0.1702,0.1702,0.1702,0.1702,1.55%
