날짜,종가,오픈,고가,저가,변동 %
2020년 03월 31일,0.2953,0.28,0.303,0.248,-0.94%
2020년 03월 30일,0.2981,0.288,0.322,0.264,3.61%
2020년 03월 29일,0.2877,0.2983,0.2983,0.2877,-3.55%
2020년 03월 27일,0.2983,0.37,0.373,0.285,-19.98%
2020년 03월 26일,0.3728,0.37,0.389,0.32,-6.02%
2020년 03월 25일,0.3967,0.407,0.45,0.37,-6.86%
2020년 03월 24일,0.4259,0.334,0.447,0.331,24.71%
2020년 03월 23일,0.3415,0.321,0.373,0.268,5.63%
2020년 03월 22일,0.3233,0.3601,0.3601,0.3233,-16.35%
2020년 03월 20일,0.3865,0.566,0.572,0.363,-31.71%
2020년 03월 19일,0.566,0.6,0.672,0.447,-15.09%
2020년 03월 18일,0.6666,0.582,0.688,0.529,8.20%
2020년 03월 17일,0.6161,0.44,0.635,0.421,41.02%
2020년 03월 16일,0.4369,0.416,0.482,0.322,5.02%
2020년 03월 15일,0.416,0.395,0.4265,0.395,-33.32%
2020년 03월 13일,0.6239,0.576,0.645,0.511,12.90%
2020년 03월 12일,0.5526,0.629,0.679,0.437,-12.89%
2020년 03월 11일,0.6344,0.574,0.648,0.482,0.48%
2020년 03월 10일,0.6314,0.513,0.637,0.449,40.56%
2020년 03월 09일,0.4492,0.495,0.495,0.273,-11.61%
2020년 03월 08일,0.5082,0.5347,0.5347,0.4871,-9.01%
2020년 03월 06일,0.5585,0.627,0.635,0.432,-10.90%
2020년 03월 05일,0.6268,0.72,0.72,0.585,-12.32%
2020년 03월 04일,0.7149,0.692,0.723,0.627,1.03%
2020년 03월 03일,0.7076,0.905,0.91,0.628,-20.86%
2020년 03월 02일,0.8941,0.823,0.921,0.714,9.02%
2020년 03월 01일,0.8201,0.8228,0.8228,0.8201,-10.46%
