날짜,종가,오픈,고가,저가,변동 %
2020년 02월 28일,0.9159,1.069,1.074,0.844,-13.67%
2020년 02월 27일,1.0609,1.136,1.139,1.024,-7.69%
2020년 02월 26일,1.1493,1.187,1.195,1.115,-2.74%
2020년 02월 25일,1.1817,1.225,1.251,1.128,-1.79%
2020년 02월 24일,1.2032,1.254,1.278,1.192,-8.74%
2020년 02월 23일,1.3185,1.3185,1.3185,1.3185,0.00%
2020년 02월 21일,1.3185,1.354,1.364,1.281,-2.97%
2020년 02월 20일,1.3589,1.405,1.407,1.345,-2.50%
2020년 02월 19일,1.3937,1.391,1.405,1.375,0.97%
2020년 02월 18일,1.3803,1.394,1.394,1.356,-0.96%
2020년 02월 17일,1.3937,1.3937,1.3937,1.3937,-0.39%
2020년 02월 14일,1.3991,1.41,1.421,1.383,-1.51%
2020년 02월 13일,1.4205,1.399,1.423,1.364,-0.19%
2020년 02월 12일,1.4232,1.404,1.426,1.399,1.36%
2020년 02월 11일,1.4041,1.39,1.41,1.382,2.59%
2020년 02월 10일,1.3687,1.369,1.404,1.35,0.19%
2020년 02월 09일,1.3661,1.3688,1.3688,1.3661,-1.57%
2020년 02월 07일,1.3879,1.44,1.459,1.383,-3.61%
2020년 02월 06일,1.4399,1.434,1.47,1.424,0.19%
2020년 02월 05일,1.4372,1.402,1.459,1.375,2.51%
2020년 02월 04일,1.402,1.326,1.418,1.326,5.07%
2020년 02월 03일,1.3343,1.302,1.378,1.299,2.47%
2020년 02월 02일,1.3021,1.3102,1.3102,1.3021,0.42%
