날짜,종가,오픈,고가,저가,변동 %
2021년 03월 31일,0.3485,0.324,0.351,0.324,6.54%
2021년 03월 30일,0.3271,0.316,0.348,0.316,2.54%
2021년 03월 29일,0.319,0.308,0.324,0.295,3.47%
2021년 03월 28일,0.3083,0.3083,0.3083,0.3083,0.00%
2021년 03월 26일,0.3083,0.292,0.311,0.282,4.54%
2021년 03월 25일,0.2949,0.303,0.308,0.29,-3.47%
2021년 03월 24일,0.3055,0.308,0.311,0.295,0.03%
2021년 03월 23일,0.3054,0.316,0.324,0.298,-4.92%
2021년 03월 22일,0.3212,0.324,0.326,0.303,-1.59%
2021년 03월 21일,0.3264,0.3291,0.3291,0.3264,-2.39%
2021년 03월 19일,0.3344,0.331,0.345,0.305,2.51%
2021년 03월 18일,0.3262,0.303,0.358,0.289,6.92%
2021년 03월 17일,0.3051,0.339,0.352,0.279,-10.05%
2021년 03월 16일,0.3392,0.334,0.345,0.326,0.80%
2021년 03월 15일,0.3365,0.344,0.35,0.331,-2.27%
2021년 03월 14일,0.3443,0.3391,0.3443,0.3391,1.53%
2021년 03월 12일,0.3391,0.318,0.352,0.315,6.60%
2021년 03월 11일,0.3181,0.326,0.331,0.3,-2.42%
2021년 03월 10일,0.326,0.336,0.355,0.323,2.64%
2021년 03월 09일,0.3176,0.342,0.347,0.318,-7.73%
2021년 03월 08일,0.3442,0.32,0.344,0.315,6.70%
2021년 03월 07일,0.3226,0.3253,0.3253,0.3226,3.43%
2021년 03월 05일,0.3119,0.314,0.336,0.293,1.93%
2021년 03월 04일,0.306,0.292,0.311,0.277,5.55%
2021년 03월 03일,0.2899,0.25,0.295,0.25,16.05%
2021년 03월 02일,0.2498,0.258,0.268,0.247,-0.99%
2021년 03월 01일,0.2523,0.268,0.284,0.25,-5.89%
