날짜,종가,오픈,고가,저가,변동 %
2020년 01월 31일,1.2967,1.389,1.402,1.294,-7.01%
2020년 01월 30일,1.3944,1.395,1.397,1.34,0.19%
2020년 01월 29일,1.3918,1.451,1.462,1.389,-4.63%
2020년 01월 28일,1.4594,1.419,1.462,1.381,2.85%
2020년 01월 27일,1.4189,1.43,1.441,1.4,-0.57%
2020년 01월 26일,1.4271,1.4298,1.4298,1.4271,-3.64%
2020년 01월 24일,1.481,1.519,1.532,1.459,-1.61%
2020년 01월 23일,1.5053,1.527,1.527,1.484,-1.59%
2020년 01월 22일,1.5296,1.543,1.551,1.524,-0.17%
2020년 01월 21일,1.5322,1.573,1.573,1.524,-2.40%
2020년 01월 20일,1.5699,1.5753,1.5753,1.5699,-0.34%
2020년 01월 17일,1.5753,1.572,1.597,1.562,-0.16%
2020년 01월 16일,1.5778,1.567,1.591,1.556,0.86%
2020년 01월 15일,1.5643,1.578,1.586,1.559,-1.01%
2020년 01월 14일,1.5803,1.602,1.612,1.575,-1.34%
2020년 01월 13일,1.6018,1.626,1.626,1.588,1.02%
2020년 01월 12일,1.5857,1.5857,1.5857,1.5857,0.00%
2020년 01월 10일,1.5857,1.599,1.612,1.575,-0.67%
2020년 01월 09일,1.5964,1.604,1.631,1.591,-0.67%
2020년 01월 08일,1.6071,1.508,1.637,1.468,3.61%
2020년 01월 07일,1.5511,1.562,1.57,1.546,-0.53%
2020년 01월 06일,1.5593,1.527,1.576,1.516,2.32%
2020년 01월 05일,1.524,1.5267,1.5267,1.524,-1.40%
2020년 01월 03일,1.5457,1.562,1.573,1.524,-3.09%
2020년 01월 02일,1.595,1.614,1.625,1.565,-0.85%
2020년 01월 01일,1.6086,1.6086,1.6086,1.6086,0.00%
