날짜,종가,오픈,고가,저가,변동 %
2021년 02월 28일,0.2681,0.2787,0.2787,0.2681,-4.73%
2021년 02월 26일,0.2814,0.353,0.361,0.263,-20.80%
2021년 02월 25일,0.3553,0.238,0.39,0.238,48.97%
2021년 02월 24일,0.2385,0.215,0.249,0.209,11.14%
2021년 02월 23일,0.2146,0.228,0.228,0.212,-5.75%
2021년 02월 22일,0.2277,0.22,0.228,0.212,3.64%
2021년 02월 21일,0.2197,0.2197,0.2197,0.2197,2.47%
2021년 02월 19일,0.2144,0.206,0.217,0.201,3.93%
2021년 02월 18일,0.2063,0.206,0.214,0.201,-1.24%
2021년 02월 17일,0.2089,0.23,0.24,0.206,-9.09%
2021년 02월 16일,0.2298,0.206,0.232,0.198,10.11%
2021년 02월 15일,0.2087,0.2061,0.2087,0.2061,6.70%
2021년 02월 12일,0.1956,0.188,0.198,0.185,4.15%
2021년 02월 11일,0.1878,0.185,0.19,0.18,1.46%
2021년 02월 10일,0.1851,0.201,0.201,0.183,-0.80%
2021년 02월 09일,0.1866,0.189,0.189,0.184,-1.37%
2021년 02월 08일,0.1892,0.184,0.192,0.181,2.94%
2021년 02월 07일,0.1838,0.1838,0.1838,0.1838,1.49%
2021년 02월 05일,0.1811,0.186,0.194,0.176,-2.79%
2021년 02월 04일,0.1863,0.189,0.194,0.186,-1.38%
2021년 02월 03일,0.1889,0.181,0.191,0.178,6.00%
2021년 02월 02일,0.1782,0.178,0.184,0.17,3.13%
2021년 02월 01일,0.1728,0.173,0.176,0.17,0.00%
