날짜,종가,오픈,고가,저가,변동 %
2022년 03월 31일,2.5146,2.478,2.52,2.436,1.15%
2022년 03월 30일,2.486,2.552,2.567,2.469,-2.60%
2022년 03월 29일,2.5524,2.554,2.664,2.51,-0.73%
2022년 03월 28일,2.5712,2.512,2.644,2.501,2.25%
2022년 03월 27일,2.5147,2.5231,2.5231,2.5147,-0.22%
2022년 03월 25일,2.5203,2.377,2.562,2.352,6.41%
2022년 03월 24일,2.3685,2.321,2.396,2.31,2.66%
2022년 03월 23일,2.3072,2.387,2.412,2.304,-3.22%
2022년 03월 22일,2.384,2.32,2.406,2.32,2.76%
2022년 03월 21일,2.32,2.155,2.45,2.152,8.21%
2022년 03월 20일,2.1439,2.1439,2.1439,2.1439,0.00%
2022년 03월 18일,2.1439,2.107,2.163,2.089,1.34%
2022년 03월 17일,2.1156,2.143,2.162,2.083,-1.63%
2022년 03월 16일,2.1507,2.05,2.197,2.031,5.06%
2022년 03월 15일,2.0471,2.049,2.079,1.974,-0.25%
2022년 03월 14일,2.0522,1.96,2.052,1.955,4.69%
2022년 03월 13일,1.9602,1.9169,1.971,1.9169,1.97%
2022년 03월 11일,1.9223,1.882,1.936,1.847,2.15%
2022년 03월 10일,1.8818,1.847,1.909,1.809,1.75%
2022년 03월 09일,1.8495,1.766,1.855,1.745,6.07%
2022년 03월 08일,1.7436,1.68,1.79,1.675,3.60%
2022년 03월 07일,1.683,1.546,1.694,1.541,8.85%
2022년 03월 06일,1.5462,1.609,1.609,1.5462,-4.55%
2022년 03월 04일,1.6199,1.707,1.707,1.543,-3.40%
2022년 03월 03일,1.6769,1.641,1.715,1.625,0.01%
2022년 03월 02일,1.6767,1.522,1.699,1.44,12.80%
2022년 03월 01일,1.4864,1.646,1.671,1.43,-8.36%
